Program,Utilities,01_1,01_10,01_2,01_3,01_4,01_5,01_6,01_7,01_8,01_9,02_1,02_10,02_2,02_3,02_4,02_5,02_6,02_7,02_8,02_9
logname,BusyBox,289000,288085,315001,273071,301696,340697,338622,302001,296386,310424,304076.0,287170.0,312865.0,285705.0,347106.0,338989.0,336486.0,315063.0,309021.0,310179.0
logname,ToyBox,283691,295654,276610,307433,313537,321838,317748,293273,287536,335387,306761.0,330260.0,285704.0,304564.0,315978.0,335143.0,339233.0,307861.0,327209.0,331176.0
logname,GNU,303161,311584,304321,307494,336120,337707,345336,334655,318115,304137,303222.0,313292.0,335754.0,307921.0,339294.0,337584.0,345397.0,333801.0,325316.0,303527.0
sort,BusyBox,301489280,312524225,341756999,309152345,340315779,342063638,339966110,320740085,309108096,310374389,293859722.0,304120193.0,332528934.0,301119225.0,332947451.0,332708133.0,332040531.0,304881056.0,301447043.0,302842060.0
sort,ToyBox,444071984,461010782,453206847,491085108,501783383,502110409,501973507,453237426,444273338,499221012,436061383.0,453916562.0,445941424.0,487863558.0,491810508.0,494519364.0,493250812.0,444591818.0,434870103.0,451884586.0
sort,GNU,89196000,95096925,95811339,97536799,98800285,98873709,98136101,105858433,90861523,89510697,89059037.0,92347847.0,93467290.0,94953615.0,99502004.0,98419060.0,98747550.0,102974834.0,91410777.0,90304700.0
du,BusyBox,283325,265014,289489,265136,288146,339172,315185,288207,290404,291076,662535.0,622923.0,691282.0,611571.0,693358.0,760558.0,732725.0,771177.0,662535.0,688047.0
du,ToyBox,299621,293151,276977,295593,301879,330382,313720,287353,282897,289916,737547.0,731748.0,683714.0,710692.0,736753.0,748045.0,822752.0,723997.0,709288.0,794676.0
du,GNU,283324,281982,287048,295165,310668,327880,315856,318297,300414,283324,683470.0,724607.0,707945.0,720946.0,793760.0,791319.0,787596.0,796323.0,753050.0,701780.0
factor,BusyBox,313903,290282,331726,288574,313964,344603,339538,314452,311950,314453,305114.0,290709.0,301635.0,288573.0,314513.0,340942.0,338744.0,303344.0,363037.0,315124.0
factor,ToyBox,330992,316894,276549,302062,315124,341185,344298,311645,306701,316527,307250.0,303955.0,285461.0,317504.0,325194.0,341063.0,337951.0,320129.0,309997.0,312804.0
factor,GNU,294555,320617,310790,306945,320068,337889,343627,339904,307677,308654,309326.0,305481.0,308532.0,318542.0,342529.0,318846.0,359741.0,339660.0,335143.0,310912.0
true,BusyBox,286864,294249,314208,285704,306151,315795,312438,281494,277466,297058,268004.0,277160.0,303100.0,286010.0,315246.0,314513.0,314697.0,280456.0,288390.0,278075.0
true,ToyBox,274230,281920,272521,314452,315856,310119,316039,275085,280761,280090,278747.0,279785.0,273803.0,302062.0,312071.0,311279.0,314636.0,276611.0,269225.0,277954.0
true,GNU,270446,293884,281432,287902,305602,312500,308044,316527,285033,271911,280822.0,279663.0,268737.0,274719.0,319030.0,342162.0,320128.0,317749.0,275512.0,283874.0
chmod,BusyBox,280944,279906,272887,277466,302062,313353,303527,298644,286864,277832,3399771.0,3523611.0,3411185.0,3491080.0,3843496.0,3786795.0,3821523.0,3844107.0,3488517.0,3535941.0
chmod,ToyBox,285217,297119,282287,274047,316955,316589,318969,281005,279235,312805,2601800.0,2742242.0,2657036.0,2591790.0,2903862.0,2898918.0,2929803.0,2671746.0,2604852.0,2901787.0
chmod,GNU,284423,286315,271423,288268,312255,316039,312621,312743,309753,271300,2735283.0,2696099.0,2599358.0,2637200.0,2926323.0,2959220.0,2928886.0,2911370.0,2847588.0,2586907.0
expand,BusyBox,14196924,13457058,14569726,13293728,14616295,16015706,15832540,14526758,14425989,14563500,14165674.0,13460354.0,14647362.0,13308071.0,14605858.0,16035664.0,15907003.0,14681115.0,14476952.0,14534021.0
expand,ToyBox,507018,503173,456297,488890,492919,549010,553405,488769,482543,506224,492492.0,504393.0,458617.0,471374.0,512145.0,548460.0,550902.0,501463.0,492614.0,486448.0
expand,GNU,6828413,7061750,6895551,7217084,7613994,7612835,7705730,7625102,7315716,6898115,6866681.0,7030011.0,6943219.0,7018720.0,7599956.0,7663921.0,7650249.0,7604289.0,7349652.0,6959089.0
cp,BusyBox,99236074,103542520,110638633,101150925,163233469,113016495,110858115,109822473,100292651,100702868,,,,,,,,,,
cp,ToyBox,99160208,102472333,183601886,196564499,220925338,120716122,109954491,100220629,98517875,242301503,,,,,,,,,,
cp,GNU,105041357,109305567,99341726,105225255,118785035,110851523,120954891,110953085,108932765,99092825,,,,,,,,,,
mkdir,BusyBox,283996,280395,312927,289733,311096,311706,309631,299498,287780,287658,271484.0,291748.0,313415.0,287780.0,318969.0,313964.0,312622.0,302306.0,277587.0,288757.0
mkdir,ToyBox,287414,290160,288634,307800,311767,315490,324523,288696,270324,324767,281799.0,298095.0,289062.0,307494.0,311584.0,314269.0,334777.0,274291.0,282287.0,303466.0
mkdir,GNU,286742,316161,285705,302916,315428,315123,314392,321716,289428,287353,278075.0,318969.0,296874.0,328490.0,318053.0,313354.0,316405.0,356567.0,289062.0,281433.0
md5sum,BusyBox,313293,292602,332763,285521,327941,400085,333556,328307,300048,303649,270466226.0,277025413.0,294571938.0,267350512.0,297512544.0,303394487.0,306954964.0,294374491.0,277951864.0,270192606.0
md5sum,ToyBox,325622,341186,312805,315795,350219,365233,373106,325744,318908,339294,499482608.0,508082195.0,501574766.0,539097558.0,550291927.0,553286914.0,562363123.0,509177224.0,499871523.0,554014451.0
md5sum,GNU,299437,316772,319396,323119,333007,355956,335204,348937,338134,319458,213181644.0,240106564.0,232774856.0,236999332.0,242319570.0,251118010.0,243831346.0,261543947.0,232979323.0,213851564.0
cat,BusyBox,35705353,36382109,35799835,35856476,40043355,39758992,39570456,39681233,35746612,36540983,35715912.0,36408781.0,35811249.0,36491911.0,39658773.0,39734274.0,40086384.0,40171772.0,35803619.0,36140288.0
cat,ToyBox,1426549936,1475233040,1477575991,1432453425,1610829861,1607746555,1608689119,1456567133,1442176606,1572863222,1446693196.0,1487163368.0,1467679592.0,1437882061.0,1626037586.0,1624024895.0,1626257982.0,1462325663.0,1440071386.0,1619845707.0
cat,GNU,2067377,2037409,1977351,2027949,2235041,2243769,2215692,2223994,2192804,1957149,2126765.0,2050898.0,1984736.0,2047724.0,2223566.0,2235773.0,2219904.0,2261163.0,2175470.0,2010188.0
mv,BusyBox,284850,288146,314208,275268,312438,301330,310119,307250,305664,274718,270568.0,278442.0,300170.0,276061.0,316527.0,303222.0,314880.0,309326.0,274963.0,287414.0
mv,ToyBox,285339,279296,288329,309448,315796,303588,311828,275024,270263,315124,281188.0,289916.0,287536.0,305786.0,314391.0,315002.0,314086.0,283630.0,276550.0,315856.0
mv,GNU,279418,317810,295287,313842,316345,325378,327147,341308,289184,281616,282653.0,316467.0,282836.0,313415.0,316893.0,312072.0,324523.0,341612.0,288818.0,272155.0
basename,BusyBox,277404,290771,281005,285644,314758,300597,314574,301574,275023,303710,267699.0,288452.0,269347.0,286926.0,303710.0,311340.0,316039.0,316039.0,283447.0,286194.0
basename,ToyBox,285277,280212,303893,276427,310790,315612,314819,278747,286437,277954,271423.0,291564.0,303649.0,287963.0,300536.0,302490.0,302367.0,290832.0,282776.0,288574.0
basename,GNU,285277,289794,278869,275757,313598,316039,306091,300415,306762,281616,284973.0,276611.0,266845.0,287841.0,314818.0,305175.0,314391.0,301269.0,304565.0,269836.0
head,BusyBox,284973,293761,314941,284911,319458,340026,340148,314147,297851,299804,288757.0,278259.0,318114.0,273864.0,300841.0,340819.0,339537.0,317443.0,296935.0,314208.0
