iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,File Name,Name 1,Name 2,Name 3
0;107055;189941;21973;12152;335632;5554;0,data-BusyBox-mv0101.csv,data,BusyBox,mv0101.csv
0;44983;145202;23560;23983;460448;5432;0,data-ToyBox-mv0101.csv,data,ToyBox,mv0101.csv
0;106872;152831;16235;12082;365721;4639;0,data-GNU-mv0101.csv,data,GNU,mv0101.csv
