iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,File Name,Name 1,Name 2,Name 3
0;124329;161743;20691;12074;359558;3967;127,data-BusyBox-mv0201.csv,data,BusyBox,mv0201.csv
0;93139;141723;12390;11364;299011;2869;0,data-ToyBox-mv0201.csv,data,ToyBox,mv0201.csv
0;127868;156188;23804;11303;352599;6836;0,data-GNU-mv0201.csv,data,GNU,mv0201.csv
