iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities
0;60607;82641;14221;24200;274170;0;0;printokens2;01;debop
0;99365;135498;23316;40456;461241;122;0;grep;02;chisel
0;62134;83435;14282;24610;273681;0;0;date;02;bloated
0;61157;83923;15808;24671;287536;0;0;mkdir;01;debop
0;60791;82641;14282;24302;275084;0;0;printokens2;02;bloated
0;71472;99792;17151;28498;331847;0;0;gzip;01;debop
0;64941;89355;15564;26186;296936;0;0;grep;01;bloated
0;60913;82642;14770;24417;276306;0;0;date;02;chisel
0;64392;89539;15442;26061;297118;0;0;grep;01;debop
0;72265;100707;17151;28498;329222;0;0;gzip;01;cov
0;62927;85877;15136;25096;286376;0;0;mkdir;01;cov
0;72204;100219;17151;28843;333129;0;0;gzip;01;bloated
0;71655;101501;17150;28503;331176;0;0;gzip;02;cov
0;61157;83435;14404;24149;274352;0;0;printokens2;01;cov
0;62195;88013;16357;24736;287047;0;4;sed;02;debop
0;113281;158020;27404;47035;535705;0;0;gzip;01;chisel
0;71106;99121;17212;28922;330809;0;0;grep;02;bloated
0;61157;83191;14892;24648;285705;0;0;sed;02;chisel
0;73791;88317;15014;26773;313537;0;0;date;01;bloated
0;71228;96923;16541;28551;326415;0;0;gzip;02;debop
0;70129;98571;17212;28695;331298;0;0;grep;02;debop
0;62195;87036;16296;24591;275451;61;0;date;02;debop
0;62011;85938;14893;24757;284911;0;0;date;02;cov
0;113769;158020;27161;47077;534972;0;0;gzip;02;chisel
0;60302;85754;14282;24241;274109;0;0;printokens2;02;chisel
0;71350;96374;17212;28786;328917;0;0;grep;02;cov
0;61645;85998;14893;24920;285521;0;0;mkdir;02;debop
0;61950;87036;14893;24524;283935;0;4;sed;01;cov
0;61340;82825;14405;24764;274840;0;0;mkdir;02;cov
0;62744;83862;14282;24590;273376;0;4;sed;02;bloated
0;61157;82947;14771;24683;284972;0;4;sed;02;cov
0;61340;82885;14282;24341;273925;0;0;mkdir;01;chisel
0;61462;82886;15136;24519;285949;0;4;sed;01;bloated
0;93689;129699;22339;37970;436156;0;0;grep;01;chisel
0;60974;83191;14343;24533;275756;0;0;date;01;debop
0;62378;89477;16662;24320;282104;0;0;printokens2;01;chisel
0;62073;85938;14832;24709;285217;0;0;sed;01;chisel
0;64453;88989;15503;26055;295470;0;0;grep;01;cov
0;61218;85998;14771;24407;285826;0;0;date;01;cov
0;62195;82824;14221;24597;284606;0;0;printokens2;01;bloated
0;60485;83435;14832;24277;284851;0;0;printokens2;02;cov
0;60913;85998;14953;24614;286071;0;0;mkdir;02;chisel
0;61523;86060;15137;24506;283934;0;4;sed;01;debop
0;60364;82153;14343;24274;275085;0;0;printokens2;02;debop
0;61890;86182;16296;24964;285705;0;0;mkdir;02;bloated
0;61707;86181;14954;24691;286437;0;0;mkdir;01;bloated
0;60608;85998;14221;24240;277099;0;0;date;01;chisel
0;71289;96741;16601;28441;321166;0;0;gzip;02;bloated
