iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities;Repetition
0;21936406;30576582;6940534;7807599;99160208;0;0;cp;1;ToyBox;cat_repeat1.csv
0;140076;194580;34179;56525;683470;0;0;du;2;GNU;cat_repeat1.csv
0;105590;145691;25390;42753;474364;0;0;base64;2;BusyBox;cat_repeat1.csv
0;853147;1134763;171630;296562;3728079;0;0;cut;2;BusyBox;cat_repeat1.csv
0;62500;85266;14892;24515;280944;0;0;touch;1;GNU;cat_repeat1.csv
0;62500;88867;14832;24622;300171;0;0;dirname;2;ToyBox;cat_repeat1.csv
0;68848;97778;16602;27926;325622;0;0;md5sum;1;ToyBox;cat_repeat1.csv
0;65857;94116;16602;27675;319091;0;1;false;1;BusyBox;cat_repeat1.csv
0;61889;84655;14282;24323;293884;0;0;link;2;ToyBox;cat_repeat1.csv
0;61462;84534;14282;24340;296081;0;0;head;1;GNU;cat_repeat1.csv
0;62256;87952;14770;24400;289550;0;1;false;2;GNU;cat_repeat1.csv
0;63476;88623;14953;24923;287414;0;0;mkdir;1;ToyBox;cat_repeat1.csv
0;19274731;25679744;4139576;7229709;81133215;0;0;wc;2;BusyBox;cat_repeat1.csv
0;61890;87951;14893;24382;281188;0;0;mv;2;ToyBox;cat_repeat1.csv
0;225402;313964;53650;88831;1082761;0;0;ls;2;BusyBox;cat_repeat1.csv
0;62194;84900;14831;24471;287353;0;1;false;2;BusyBox;cat_repeat1.csv
0;62011;84290;14282;24436;284973;0;0;basename;2;GNU;cat_repeat1.csv
0;67017;96375;17150;28834;331115;0;0;head;1;ToyBox;cat_repeat1.csv
0;62866;88013;14893;24728;281799;0;0;mkdir;2;ToyBox;cat_repeat1.csv
0;61707;84472;14160;24498;284423;0;0;chmod;1;GNU;cat_repeat1.csv
0;64819;92102;14953;25176;307250;0;0;factor;2;ToyBox;cat_repeat1.csv
0;96680;126281;22400;38398;492492;3724;1;expand;2;ToyBox;cat_repeat1.csv
0;67138;97656;17090;28684;336059;0;0;dirname;1;ToyBox;cat_repeat1.csv
0;63171;88074;14954;24943;284362;0;0;touch;1;BusyBox;cat_repeat1.csv
0;108426175;141957156;21199042;37856078;428541749;1221;0;wc;1;GNU;cat_repeat1.csv
0;1473019;1971674;319274;547868;6828413;0;0;expand;1;GNU;cat_repeat1.csv
0;291198;405822;69641;117082;1417538;0;0;ls;2;GNU;cat_repeat1.csv
0;307650885;427635929;75683400;134763439;1446693196;77026;0;cat;2;ToyBox;cat_repeat1.csv
0;67412731;91966561;21403388;26065257;301489280;0;0;sort;1;BusyBox;cat_repeat1.csv
0;65552;94360;16724;27497;322875;0;0;id;1;ToyBox;cat_repeat1.csv
0;11068819;14657250;2377008;4044400;50173334;0;0;comm;2;GNU;cat_repeat1.csv
0;62988;88378;14893;24736;303161;0;0;logname;1;GNU;cat_repeat1.csv
0;138672;193542;35095;56351;641172;0;0;ls;1;BusyBox;cat_repeat1.csv
0;60180;80750;13000;23073;299621;0;0;du;1;ToyBox;cat_repeat1.csv
0;65918;94788;15991;26370;310424;0;0;base64;1;GNU;cat_repeat1.csv
0;66650;94483;16052;26743;313293;0;0;md5sum;1;BusyBox;cat_repeat1.csv
0;63659;84778;14283;24759;307617;0;0;date;2;GNU;cat_repeat1.csv
0;425109;572020;89355;150548;1892390;0;0;cut;2;GNU;cat_repeat1.csv
0;64392;89416;15442;26058;299682;0;0;id;1;BusyBox;cat_repeat1.csv
0;62561;88440;14832;24638;271423;0;0;basename;2;ToyBox;cat_repeat1.csv
0;61706;88074;14831;24597;286864;0;0;true;1;BusyBox;cat_repeat1.csv
0;61401;85022;14160;24464;280822;0;0;true;2;GNU;cat_repeat1.csv
0;62195;85571;14221;24271;267699;0;0;basename;2;BusyBox;cat_repeat1.csv
0;62133;84045;14343;24500;288757;0;0;head;2;BusyBox;cat_repeat1.csv
0;63964;87951;14832;25130;285339;0;0;mv;1;ToyBox;cat_repeat1.csv
0;62622;87585;14954;24906;284850;0;0;mv;1;BusyBox;cat_repeat1.csv
0;62622;86426;14892;25113;289123;0;0;ln;1;BusyBox;cat_repeat1.csv
0;67932;94848;17151;29206;330992;0;0;factor;1;ToyBox;cat_repeat1.csv
0;66894;95764;17212;28814;335632;0;0;date;1;ToyBox;cat_repeat1.csv
0;72387;102478;15625;26029;341186;0;0;date;2;BusyBox;cat_repeat1.csv
0;62073;84778;14160;24235;270446;0;0;true;1;GNU;cat_repeat1.csv
0;19295361;25740717;4153371;7255623;81444615;0;0;wc;1;BusyBox;cat_repeat1.csv
0;2237116;3125114;557555;989796;11591951;0;0;cut;1;ToyBox;cat_repeat1.csv
0;64759;91125;15564;25659;299437;0;0;md5sum;1;GNU;cat_repeat1.csv
0;61767;86608;14893;25114;285217;0;0;chmod;1;ToyBox;cat_repeat1.csv
0;62439;88195;14831;24539;284973;0;0;head;1;BusyBox;cat_repeat1.csv
0;61828;84289;14283;24563;271484;0;0;mkdir;2;BusyBox;cat_repeat1.csv
0;68725;100402;17639;30563;351988;0;0;link;1;ToyBox;cat_repeat1.csv
0;62805;87952;14831;24840;306761;0;0;logname;2;ToyBox;cat_repeat1.csv
0;63720;88500;15136;25074;278075;0;0;mkdir;2;GNU;cat_repeat1.csv
0;577147;796751;145934;231985;2601800;0;0;chmod;2;ToyBox;cat_repeat1.csv
0;65979;93261;16663;27932;326171;0;0;dirname;1;BusyBox;cat_repeat1.csv
0;61706;84899;14282;24403;270568;0;0;mv;2;BusyBox;cat_repeat1.csv
0;149719;212829;39489;65312;737547;0;0;du;2;ToyBox;cat_repeat1.csv
0;109422755;148522630;25378475;44204456;499482608;0;0;md5sum;2;ToyBox;cat_repeat1.csv
0;62195;88623;14831;24488;303222;0;0;ln;2;GNU;cat_repeat1.csv
0;62256;85205;14831;24660;294555;0;0;factor;1;GNU;cat_repeat1.csv
0;64514;89355;15381;26437;313903;0;0;factor;1;BusyBox;cat_repeat1.csv
0;63843;88867;14831;24912;279418;0;0;mv;1;GNU;cat_repeat1.csv
0;26561883;35336092;5643601;9931006;111534566;0;0;wc;1;ToyBox;cat_repeat1.csv
0;195129;273193;45471;78662;896237;0;0;base64;1;ToyBox;cat_repeat1.csv
0;62255;90515;15564;25206;289000;0;0;logname;1;BusyBox;cat_repeat1.csv
0;62195;84656;14282;24454;297240;0;0;dirname;2;BusyBox;cat_repeat1.csv
0;62012;85022;14160;24237;277404;0;0;basename;1;BusyBox;cat_repeat1.csv
0;93288884;129082189;29931869;38675652;436061383;1221;0;sort;2;ToyBox;cat_repeat1.csv
0;468749;665465;119201;205886;2358636;0;0;ls;1;ToyBox;cat_repeat1.csv
0;497436;680540;109558;186144;2172785;0;0;cut;1;GNU;cat_repeat1.csv
0;62622;85083;14099;24517;291687;0;0;id;2;BusyBox;cat_repeat1.csv
0;75439;102844;17822;29758;322264;0;0;base64;1;BusyBox;cat_repeat1.csv
0;61706;83985;14282;24450;293761;0;0;dirname;2;GNU;cat_repeat1.csv
0;62805;84045;14831;24802;286742;0;0;mkdir;1;GNU;cat_repeat1.csv
0;8504983;11334078;1790828;3183026;35705353;976;0;cat;1;BusyBox;cat_repeat1.csv
0;462767;639098;114075;178708;2126765;0;0;cat;2;GNU;cat_repeat1.csv
0;63659;87829;15380;25354;283691;0;0;logname;1;ToyBox;cat_repeat1.csv
0;63843;87585;14893;25410;287353;0;0;link;1;BusyBox;cat_repeat1.csv
0;39836507;57751256;11976531;20142821;213181644;0;0;md5sum;2;GNU;cat_repeat1.csv
0;69947;87646;14343;27980;352843;0;0;ln;1;GNU;cat_repeat1.csv
0;63477;88073;14710;24775;308898;0;0;head;2;GNU;cat_repeat1.csv
0;62012;87890;14710;24428;298705;0;0;date;2;ToyBox;cat_repeat1.csv
0;81360;111633;18860;31098;374145;0;0;base64;2;GNU;cat_repeat1.csv
0;61218;83863;14221;24342;294494;0;0;echo;1;GNU;cat_repeat1.csv
0;95171448;131951505;31234905;39247814;444071984;1831;0;sort;1;ToyBox;cat_repeat1.csv
0;21916265;30554914;6956830;7802864;99236074;0;0;cp;1;BusyBox;cat_repeat1.csv
0;63049;85021;14282;24279;307922;0;1;false;1;GNU;cat_repeat1.csv
0;4663867;6371810;1727352;1744326;21830572;0;0;cksum;1;GNU;cat_repeat1.csv
0;65704239;89574539;20629037;25454390;293859722;1648;0;sort;2;BusyBox;cat_repeat1.csv
0;58655;81116;13611;23199;283325;0;0;du;1;BusyBox;cat_repeat1.csv
0;58288;81055;13671;23099;283324;0;0;du;1;GNU;cat_repeat1.csv
0;63233;85632;14831;24655;296935;0;0;date;1;GNU;cat_repeat1.csv
0;67017;88806;15076;25430;349486;2685;0;ln;2;ToyBox;cat_repeat1.csv
0;27989369;37193081;5931320;10425741;116847540;0;0;comm;1;BusyBox;cat_repeat1.csv
0;1355648;1792171;271789;476874;5877243;0;0;cut;1;BusyBox;cat_repeat1.csv
0;195434;266723;45776;73493;847044;0;0;base64;2;ToyBox;cat_repeat1.csv
0;57296546;90024977;24177001;24286701;294571938;4205495;0;md5sum;2;BusyBox;cat_repeat2.csv
0;62012;87951;14282;24447;275817;0;0;ln;1;ToyBox;cat_repeat2.csv
0;13296292;17652909;2858819;4909918;55527263;0;0;comm;1;GNU;cat_repeat2.csv
0;61829;88622;14831;24467;299987;0;0;echo;2;GNU;cat_repeat2.csv
0;62866;85266;14282;24678;308532;0;0;factor;2;GNU;cat_repeat2.csv
0;62988;88378;14893;24497;292968;0;0;echo;1;ToyBox;cat_repeat2.csv
0;3238884;4804797;1163815;1155305;14647362;204650;0;expand;2;BusyBox;cat_repeat2.csv
0;2047419;2850273;506468;897417;9959325;0;0;cut;2;ToyBox;cat_repeat2.csv
0;66650;100769;26612;24677;316771;4273;0;touch;2;BusyBox;cat_repeat2.csv
0;65613;99670;25940;24787;315245;3907;0;ln;2;BusyBox;cat_repeat2.csv
0;61340;87158;14770;24500;288207;0;0;touch;2;ToyBox;cat_repeat2.csv
0;64637;99548;26061;24568;313354;3845;0;echo;1;BusyBox;cat_repeat2.csv
0;150574;232971;61950;55877;691282;9216;0;du;2;BusyBox;cat_repeat2.csv
0;25766047;33575232;10466831;6033609;93467290;0;0;sort;2;GNU;cat_repeat2.csv
0;1569149;2072809;321593;552234;6943219;0;0;expand;2;GNU;cat_repeat2.csv
0;25845759;33603185;10404880;6023282;95811339;0;0;sort;1;GNU;cat_repeat2.csv
0;66528;100769;26733;24730;301635;4456;0;factor;2;BusyBox;cat_repeat2.csv
0;113403;157776;27282;45169;549376;0;0;ls;1;GNU;cat_repeat2.csv
0;61402;85144;14221;24266;273803;0;0;true;2;ToyBox;cat_repeat2.csv
0;81914951;113707961;20846504;36039976;396556846;0;0;cksum;1;ToyBox;cat_repeat2.csv
0;106746675;139820443;20904854;37332520;423268753;1403;0;wc;2;GNU;cat_repeat2.csv
0;26576348;39063071;8958168;9548236;119214050;1519771;0;comm;2;BusyBox;cat_repeat2.csv
0;121419733;168316707;29907516;53471252;583607820;1648;0;comm;1;ToyBox;cat_repeat2.csv
0;60974;84351;14221;24168;272887;0;0;chmod;1;BusyBox;cat_repeat2.csv
0;62256;87524;14770;24672;286438;0;0;head;2;ToyBox;cat_repeat2.csv
0;64025;89050;14893;24842;307006;0;0;id;1;GNU;cat_repeat2.csv
0;578795;799375;145690;230927;2599358;0;0;chmod;2;GNU;cat_repeat2.csv
0;3232657;4772205;1129331;1153511;14569726;190673;0;expand;1;BusyBox;cat_repeat2.csv
0;63538;88318;14831;24690;286986;0;1;false;1;ToyBox;cat_repeat2.csv
0;62805;88745;14770;24628;309814;0;0;dirname;1;GNU;cat_repeat2.csv
0;62317;87890;14892;24478;303893;0;0;basename;1;ToyBox;cat_repeat2.csv
0;65918;100952;25879;24849;312865;4944;0;logname;2;BusyBox;cat_repeat2.csv
0;65003;100586;26855;24680;315489;4212;0;link;2;BusyBox;cat_repeat2.csv
0;65674;96374;24842;24523;311401;3662;0;echo;2;BusyBox;cat_repeat2.csv
0;11894928;16197896;2842766;4881706;63154746;0;0;comm;2;ToyBox;cat_repeat2.csv
0;63965;85876;14282;24662;283568;0;0;touch;2;GNU;cat_repeat2.csv
0;459227;631468;112121;175077;1977351;0;0;cat;1;GNU;cat_repeat2.csv
0;61402;86548;14770;24550;286865;0;1;false;2;ToyBox;cat_repeat2.csv
0;62622;84350;14343;24417;279296;0;0;echo;2;ToyBox;cat_repeat2.csv
0;305090222;423808913;75270926;133444212;1477575991;125488;0;cat;1;ToyBox;cat_repeat2.csv
0;64391;89172;14831;24890;282836;0;0;mv;2;GNU;cat_repeat2.csv
0;63355;88928;14831;24833;309691;0;0;id;2;GNU;cat_repeat2.csv
0;65491;99548;25635;24654;312927;4394;0;mkdir;1;BusyBox;cat_repeat2.csv
