Program;BusyBox;GNU;Change
base64;430354.5;349504.85;23.13
cat;37555418.35;2125736.1;1666.7
chmod;1951975.55;1539668.7;26.78
cksum;245804674.7;11393452.35;2057.42
comm;120871544.2;55065279.7;119.51
cp;111249422.3;108848402.9;2.21
cut;4932394.1;2207312.35;123.46
expand;14566014.9;7273003.85;100.28
md5sum;143150640.5;118599778.8;20.7
sort;318299264.7;95543426.25;233.15
true;294853.9;294783.85;0.02
