iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities
0;55007672;76347095;14216028;24162434;277951864;0;0;md5sum;02;BusyBox
0;62255;91369;14893;24549;304260;0;0;ln;01;ToyBox
0;13900782;20368539;4768787;4925651;61617762;762266;0;comm;01;GNU
0;61584;88257;14710;24398;327880;0;0;echo;02;GNU
0;62012;84595;14770;24630;335143;0;0;factor;02;GNU
0;61768;85205;15930;24415;281616;0;0;echo;01;ToyBox
0;3081474;4104604;654234;1149686;14476952;0;0;expand;02;BusyBox
0;2061274;2911797;513365;900492;10886080;0;0;cut;02;ToyBox
0;62439;83923;14343;24253;276183;0;0;touch;02;BusyBox
0;62255;85204;14343;24393;298705;0;0;ln;02;BusyBox
0;62744;84778;14770;24446;269103;0;0;touch;02;ToyBox
0;60913;83496;14160;24046;298950;0;0;echo;01;BusyBox
0;133971;184936;32471;53327;662535;0;0;du;02;BusyBox
0;25746150;33530859;10482884;6036386;91410777;0;0;sort;02;GNU
0;1541866;2037593;319153;547866;7349652;0;0;expand;02;GNU
0;25891292;33597387;10382908;5982275;90861523;0;0;sort;01;GNU
0;78430;97107;16419;27655;363037;0;0;factor;02;BusyBox
0;113403;157104;27283;45222;588622;0;0;ls;01;GNU
0;61645;84656;14221;24343;269225;0;0;true;02;ToyBox
0;82508700;114563001;20964973;36245485;390468605;1343;0;cksum;01;ToyBox
0;107698393;140809820;21109260;37704570;437297892;0;0;wc;02;GNU
0;25750849;34125279;5430101;9526955;109293361;0;0;comm;02;BusyBox
0;122842337;176731054;35817841;53565194;595644716;2481134;0;comm;01;ToyBox
0;61524;87280;14892;24280;286864;0;0;chmod;01;BusyBox
0;62439;84290;14160;24517;297240;0;0;head;02;ToyBox
0;62805;84351;14221;24759;315795;0;0;id;01;GNU
0;594664;900083;242492;232148;2847588;31616;0;chmod;02;GNU
0;3080010;4107594;655332;1149255;14425989;0;0;expand;01;BusyBox
0;62316;84717;14771;24543;307434;0;1;false;01;ToyBox
0;61523;87219;14221;24309;325622;0;0;dirname;01;GNU
0;61707;87707;14832;24345;286437;0;0;basename;01;ToyBox
0;62927;84716;14221;24709;309021;0;0;logname;02;BusyBox
0;61462;83984;14221;24224;297911;0;0;link;02;BusyBox
0;60608;84533;14160;24238;312683;0;0;echo;02;BusyBox
0;11870453;16174825;2830681;4859518;53570542;0;0;comm;02;ToyBox
0;62927;85266;14221;24456;277038;0;0;touch;02;GNU
0;481017;708067;179992;176553;2192804;23072;0;cat;01;GNU
0;62195;84656;14404;24593;295409;0;1;false;02;ToyBox
0;61585;87403;14892;24526;309569;0;0;echo;02;ToyBox
0;299451442;416116550;74324760;133441830;1442176606;3235;0;cat;01;ToyBox
0;72449;101929;15503;24871;288818;0;0;mv;02;GNU
0;63477;88318;14710;24884;329223;0;0;id;02;GNU
0;60974;89051;14831;24249;287780;0;0;mkdir;01;BusyBox
0;90113478;128263893;25033078;43431556;470618851;1404;0;cksum;01;BusyBox
0;62439;88073;14648;24407;280761;0;0;true;01;ToyBox
0;8402628;11163302;1760005;3131563;35803619;0;0;cat;02;BusyBox
0;71900;101745;17212;28397;319458;0;0;cksum;02;ToyBox
0;62378;87707;14771;24643;325316;0;0;logname;02;GNU
0;67016;99242;25757;25291;305785;3601;0;cksum;02;GNU
0;61645;88013;14831;24456;314818;0;0;date;01;BusyBox
0;62439;85205;14282;24358;288390;0;0;true;02;BusyBox
0;40559955;53923629;8557046;15148305;169605951;0;0;wc;02;ToyBox
0;94726;127502;21790;37886;482543;0;1;expand;01;ToyBox
0;846068;1185971;209228;367533;4367359;0;0;ls;02;ToyBox
0;62195;84228;14160;24608;271728;0;0;touch;01;ToyBox
0;22995303;34980623;10134374;7744639;108932765;1095334;0;cp;01;GNU
0;66589;97839;26673;24859;306762;3174;0;basename;01;GNU
0;71106;100219;17090;28779;330566;0;0;cksum;02;BusyBox
0;62866;85388;14160;24523;309996;0;0;link;02;GNU
0;62500;87646;14831;24867;308960;0;0;id;02;ToyBox
0;62256;85083;14710;24511;313476;0;0;link;01;GNU
0;757322;1038572;186156;304365;3488517;0;0;chmod;02;BusyBox
0;21815373;30355635;6894575;7708282;98517875;0;0;cp;01;ToyBox
