iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities
0;7315045;10476474;1850459;2661200;34043187;0;0;cut;01;ToyBox
0;927060;1296322;214538;300316;3941274;0;0;cut;02;BusyBox
0;62866;89295;14832;24864;280517;0;0;wc;01;GNU
0;68238;95093;17334;23438;317016;0;0;du;01;BusyBox
0;6155197;9658850;2179011;3589432;40101033;0;0;mv;02;BusyBox
0;22103153;31103802;7021467;7813076;103404582;0;0;cp;01;BusyBox
0;65674;91797;15686;25066;283202;0;0;wc;01;ToyBox
0;70556;93872;15991;26097;319701;0;0;cat;01;GNU
0;64819;90454;15442;24930;308287;0;0;wc;01;BusyBox
0;62195;84656;14221;24699;292968;0;0;cat;01;BusyBox
0;3803457;5228441;971189;1515263;18668409;0;0;mv;01;ToyBox
0;599608;842527;150024;206640;2699090;0;0;cut;01;GNU
0;28585681;43880137;10583530;12267193;155746976;1281;0;cp;02;ToyBox
0;5834885;7946024;1577205;2201725;27697927;0;0;sort;01;BusyBox
0;6989056;9963171;1743831;2564398;32326760;0;0;cut;02;ToyBox
0;72998;102783;18738;25269;330260;0;0;du;02;GNU
0;4273549;5881577;1094846;1719739;20480294;0;0;mv;02;ToyBox
0;62500;85327;14892;24782;278381;0;0;touch;01;ToyBox
0;83801;117858;20020;32976;388732;0;0;cat;02;ToyBox
0;59509;91003;15991;23266;298278;0;0;du;01;GNU
0;4342091;5965012;1108579;1729692;19551769;0;0;mv;02;GNU
0;22141911;31307232;7057477;7810793;103893838;10620;0;cp;01;ToyBox
0;62255;88562;14832;24789;289062;0;0;cat;02;GNU
0;28603442;43909250;10596225;12296675;156069486;0;0;cp;02;BusyBox
0;74218;107788;20020;24985;327758;0;0;ls;02;BusyBox
0;62133;86914;14832;24624;291381;0;0;touch;02;BusyBox
0;5747361;7784465;1521786;2155322;26539849;0;0;sort;02;BusyBox
0;63293;90637;16235;24785;280151;0;0;touch;02;ToyBox
0;67809;104492;19104;25017;333801;0;0;ls;01;BusyBox
0;61645;88195;14771;24729;285583;0;0;touch;01;GNU
0;66528;90698;15564;25308;288085;0;0;du;02;ToyBox
0;22057621;31057355;6991009;7786451;103717630;0;0;cp;01;GNU
0;1546260;2173762;365295;513979;6712446;0;0;cut;01;BusyBox
0;62744;88623;14892;24654;282776;0;0;touch;02;GNU
0;15432090;21308051;3892629;6142049;71015870;0;0;sort;02;ToyBox
0;87951;115540;19409;33124;400695;0;0;cat;01;ToyBox
0;73242;104980;18677;25648;331115;0;0;ls;02;GNU
0;15518148;21287726;3962148;6165921;74344903;0;0;sort;01;ToyBox
0;71045;105285;18738;25295;327636;0;0;ls;01;GNU
0;4384754;6439864;1293576;1715557;21863713;0;0;mv;01;GNU
0;63415;91370;16541;24623;292968;0;0;cat;02;BusyBox
0;65125;96924;16174;25356;317138;0;0;ls;01;ToyBox
0;2385003;3140373;812620;636482;8810402;0;0;sort;01;GNU
0;64148;91187;15503;24707;304138;0;0;wc;02;BusyBox
0;62622;88257;14892;24756;303649;0;0;touch;01;BusyBox
0;58471;82276;13672;23268;264831;0;0;du;01;ToyBox
0;62683;88745;14221;24746;269042;0;0;wc;02;GNU
0;29351976;44779732;10716037;12412817;159156697;0;0;cp;02;GNU
0;68298;100036;16663;26666;334044;0;0;ls;02;ToyBox
0;73547;108704;20385;25190;330199;0;0;du;02;BusyBox
0;4564868;6592756;1298397;1683983;21758245;0;0;mv;01;BusyBox
0;472838;675047;113648;154789;2054743;0;0;cut;02;GNU
0;2358453;3140617;851804;633556;8667092;0;0;sort;02;GNU
0;65429;91675;15625;25037;282897;0;0;wc;02;ToyBox
