iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities
0;57296301;89918654;23812866;24273622;303394487;4428089;0;md5sum;02;BusyBox
0;65002;100098;25756;25021;340148;3845;0;ln;01;ToyBox
0;13806910;20383798;4889514;4968795;62345055;741270;0;comm;01;GNU
0;65125;98999;26245;24773;342651;3968;0;echo;02;GNU
0;65429;100158;25757;25101;318846;3906;0;factor;02;GNU
0;65247;100342;26123;24707;340209;4028;0;echo;01;ToyBox
0;3219291;4832141;1183408;1164822;16035664;237304;0;expand;02;BusyBox
0;2128778;3318718;855466;900890;11870880;156189;0;cut;02;ToyBox
0;66406;101196;26184;24726;301940;4699;0;touch;02;BusyBox
0;64209;100036;26001;24663;326598;4760;0;ln;02;BusyBox
0;66040;99121;26306;24812;311889;4211;0;touch;02;ToyBox
0;64759;102539;26184;24380;342529;3845;0;echo;01;BusyBox
0;138489;217651;60181;54635;760558;9522;0;du;02;BusyBox
0;26643792;37347378;12856290;6129679;98419060;1003903;0;sort;02;GNU
0;1580624;2326288;541258;558539;7663921;94971;0;expand;02;GNU
0;26768730;37568629;12945524;6168682;98873709;1021176;0;sort;01;GNU
0;67199;102722;27161;24915;340942;5372;0;factor;02;BusyBox
0;120361;182983;49133;46011;620482;5310;0;ls;01;GNU
0;65918;100403;27283;25290;311279;4150;0;true;02;ToyBox
0;85203456;133215601;35239107;36041408;434710801;6092269;0;cksum;01;ToyBox
0;112448503;163316538;36472441;37944779;483444014;6821394;0;wc;02;GNU
0;26527337;38866722;8641641;9538327;119158692;1617671;0;comm;02;BusyBox
0;126072737;197516462;51395254;53448996;644459836;9582617;0;comm;01;ToyBox
0;66162;95398;24780;24728;313353;4211;0;chmod;01;BusyBox
0;65735;96191;26123;24857;341124;4089;0;head;02;ToyBox
0;66589;100525;25756;25309;340636;4211;0;id;01;GNU
0;606749;942441;257019;234853;2959220;45594;0;chmod;02;GNU
0;3229362;4848804;1174374;1166673;16015706;231689;0;expand;01;BusyBox
0;65613;100708;26184;24856;339049;4028;1;false;01;ToyBox
0;65674;99304;25512;24849;341857;3723;0;dirname;01;GNU
0;65491;99976;25879;24575;315612;4395;0;basename;01;ToyBox
0;66101;99975;26733;24862;338989;4455;0;logname;02;BusyBox
0;65002;96741;25085;24601;339659;4699;0;link;02;BusyBox
0;65918;100403;25513;24615;330932;4456;0;echo;02;BusyBox
0;12375884;19038159;4942126;4877263;65535110;906491;0;comm;02;ToyBox
0;66040;96252;23987;24802;311889;3602;0;touch;02;GNU
0;475646;723692;197143;176588;2243769;36377;0;cat;01;GNU
0;66895;101562;26490;24927;342162;3968;1;false;02;ToyBox
0;65735;101502;25695;24701;340331;4211;0;echo;02;ToyBox
0;313686331;491199792;125549666;133743091;1607746555;24427672;0;cat;01;ToyBox
0;67932;100524;26367;25336;312072;4150;0;mv;02;GNU
0;66162;100097;26245;25093;340393;4272;0;id;02;GNU
0;66345;100891;26367;24641;311706;4761;0;mkdir;01;BusyBox
0;95520569;154090792;42600660;43562703;523570010;7941691;0;cksum;01;BusyBox
0;65735;97106;24903;24534;310119;4333;0;true;01;ToyBox
0;8827736;12926175;2839836;3190948;39734274;527281;0;cat;02;BusyBox
0;75317;109680;28198;28694;361450;8056;0;cksum;02;ToyBox
0;66467;99548;26917;25168;337584;5127;0;logname;02;GNU
0;65613;99731;26062;25081;313658;4455;0;cksum;02;GNU
0;64575;100464;26551;24508;329528;4334;0;date;01;BusyBox
0;66223;97961;25818;24744;314513;5004;0;true;02;BusyBox
0;42159743;62556542;14663293;15288570;191385985;2760858;0;wc;02;ToyBox
0;97717;147216;38086;38474;549010;4761;1;expand;01;ToyBox
0;882138;1378903;364256;367370;4840930;61584;0;ls;02;ToyBox
0;65857;100158;25207;24976;313415;4211;0;touch;01;ToyBox
0;23164491;35840789;10763339;7827155;110851523;1265622;0;cp;01;GNU
0;71960;106262;26916;24670;316039;5310;0;basename;01;GNU
0;75561;112488;29602;29244;377379;8239;0;cksum;02;BusyBox
0;66773;99915;26123;24785;338988;4150;0;link;02;GNU
0;66223;99914;26123;24984;340270;3967;0;id;02;ToyBox
0;66406;101196;25696;24798;339904;4394;0;link;01;GNU
0;784911;1193844;312133;305449;3786795;48583;0;chmod;02;BusyBox
0;23412904;37163357;11655000;8381000;120716122;1613521;0;cp;01;ToyBox
0;144409;224609;63537;57291;791319;9155;0;du;02;GNU
0;111817;169067;43395;43145;537291;7080;0;base64;02;BusyBox
0;883055;1300289;305358;303963;4234120;57617;0;cut;02;BusyBox
0;66162;100220;25329;24865;313110;4395;0;touch;01;GNU
0;66162;100159;26123;24930;340087;5005;0;dirname;02;ToyBox
0;71289;109130;27527;26950;365233;4455;0;md5sum;01;ToyBox
0;64941;101135;27344;24501;311706;4639;1;false;01;BusyBox
0;66223;99060;25878;24908;341491;3906;0;link;02;ToyBox
0;64453;98327;25635;24782;342040;4150;0;head;01;GNU
0;69641;95764;24658;24851;338134;3845;1;false;02;GNU
0;66223;98205;25513;24873;315490;4578;0;mkdir;01;ToyBox
0;23581117;34960482;8267984;8365753;106103793;1582882;0;wc;02;BusyBox
0;66406;99792;26367;25053;315002;4456;0;mv;02;ToyBox
0;237792;363830;97106;89616;1183041;19226;0;ls;02;BusyBox
0;64575;96619;26184;24555;309996;5310;1;false;02;BusyBox
0;64820;96191;26916;24797;305175;5249;0;basename;02;GNU
0;65246;99060;26123;25039;341125;3906;0;head;01;ToyBox
0;66223;100708;27466;25086;314269;4577;0;mkdir;02;ToyBox
0;65613;101563;27344;24987;316039;5249;0;chmod;01;GNU
0;66345;101806;26490;25175;341063;4333;0;factor;02;ToyBox
0;101562;149719;40771;38356;548460;11536;1;expand;02;ToyBox
0;64819;99975;26917;24691;341003;5066;0;dirname;01;ToyBox
0;66162;96984;25574;24860;314758;4517;0;touch;01;BusyBox
0;112218524;162780773;36145964;37848851;482797348;6750166;0;wc;01;GNU
0;1578182;2321588;557494;550035;7612835;96740;0;expand;01;GNU
0;314208;471983;121155;117994;1589412;20264;0;ls;02;GNU
0;317452679;497367440;127823708;135292721;1624024895;24671141;0;cat;02;ToyBox
0;71477418;109973961;34160801;26148248;342063638;5059375;0;sort;01;BusyBox
0;64941;98877;25940;24907;338744;3845;0;id;01;ToyBox
0;11569184;16940692;3944264;4063235;51329703;664549;0;comm;02;GNU
0;65491;99121;25696;24943;337707;4517;0;logname;01;GNU
0;142700;218078;57617;55509;757872;12390;0;ls;01;BusyBox
0;62134;95337;25086;23554;330382;3479;0;du;01;ToyBox
0;69885;109619;28870;26615;348449;5188;0;base64;01;GNU
0;87952;132996;33020;29677;400085;5433;0;md5sum;01;BusyBox
0;65551;98876;26184;24926;339172;3846;0;date;02;GNU
0;441038;644591;152343;154427;2038630;27283;0;cut;02;GNU
0;63904;99792;26977;24435;327636;4760;0;id;01;BusyBox
0;65918;96862;26368;24766;302490;4700;0;basename;02;ToyBox
0;64392;97717;25512;24627;315795;4700;0;true;01;BusyBox
0;75378;119811;27770;27354;342162;3845;0;true;02;GNU
0;64270;98694;25269;24564;311340;3784;0;basename;02;BusyBox
0;65124;96618;25452;24900;340819;5066;0;head;02;BusyBox
0;65369;99426;26916;24810;303588;4517;0;mv;01;ToyBox
0;64758;101013;25513;24594;301330;5005;0;mv;01;BusyBox
0;65551;96923;26062;24434;326720;4089;0;ln;01;BusyBox
0;65491;99732;26672;24939;341185;4028;0;factor;01;ToyBox
0;66284;99914;26795;24994;340636;4395;0;date;01;ToyBox
0;65247;100585;26184;24614;328613;4577;0;date;02;BusyBox
0;65307;95397;25330;24625;312500;3601;0;true;01;GNU
0;20085154;29970321;7211468;7259054;91531015;1351986;0;wc;01;BusyBox
0;2328058;3635244;954587;973096;12853421;165710;0;cut;01;ToyBox
0;66772;102356;26184;25947;355956;4089;0;md5sum;01;GNU
0;65673;99609;25939;24953;316589;3784;0;chmod;01;ToyBox
0;64514;96313;25757;24797;340026;5127;0;head;01;BusyBox
0;65064;100219;26794;24783;313964;4700;0;mkdir;02;BusyBox
0;64758;99670;25940;24803;326415;4028;0;link;01;ToyBox
0;66467;99732;25635;25123;335143;3967;0;logname;02;ToyBox
0;66833;103515;26001;25462;313354;4212;0;mkdir;02;GNU
0;599608;910093;246642;233260;2898918;37475;0;chmod;02;ToyBox
0;65673;101074;25451;24548;328124;4761;0;dirname;01;BusyBox
0;65063;100952;26550;24717;303222;4761;0;mv;02;BusyBox
0;150512;230347;63354;58780;748045;12391;0;du;02;ToyBox
0;114234998;173983197;43639048;44334625;553286914;8065897;0;md5sum;02;ToyBox
0;65307;99670;25574;24781;339232;4273;0;ln;02;GNU
0;65429;99304;25635;25055;337889;3968;0;factor;01;GNU
0;81848;118346;28748;25377;344603;5188;0;factor;01;BusyBox
0;67749;101318;26184;25366;325378;4333;0;mv;01;GNU
0;27576834;41020708;9762853;9962556;125187057;1843502;0;wc;01;ToyBox
0;202331;309387;80200;78741;978452;12939;0;base64;01;ToyBox
0;64209;100097;26794;24754;340697;4822;0;logname;01;BusyBox
0;65002;101623;26978;24789;330077;4944;0;dirname;02;BusyBox
0;65002;94666;24719;24551;300597;3662;0;basename;01;BusyBox
0;97116389;153135900;48402281;39036898;494519364;7199506;0;sort;02;ToyBox
0;493468;770750;208130;207377;2736871;36987;0;ls;01;ToyBox
0;524290;778379;189331;187415;2569146;31372;0;cut;01;GNU
0;65186;100098;27344;24797;341369;4700;0;id;02;BusyBox
0;79467;122803;31494;30102;369505;3663;0;base64;01;BusyBox
0;65674;99426;26001;24861;329101;3906;0;dirname;02;GNU
0;66101;102600;26428;25151;315123;5371;0;mkdir;01;GNU
0;8844581;12966336;2867546;3190311;39758992;533201;0;cat;01;BusyBox
0;480956;733030;198181;176523;2235773;36255;0;cat;02;GNU
0;66589;100952;25513;25123;321838;4090;0;logname;01;ToyBox
0;64026;99670;26062;24615;338866;4760;0;link;01;BusyBox
0;42153640;69748601;20680550;20285239;251118010;3592459;0;md5sum;02;GNU
0;65186;99548;25696;24741;340514;4150;0;ln;01;GNU
0;65491;99792;25574;24964;341674;4394;0;head;02;GNU
0;73669;104187;26917;25068;349853;4395;0;date;02;ToyBox
0;83984;129639;32410;31483;405577;7019;0;base64;02;GNU
0;64758;95398;25146;24729;339599;4211;0;echo;01;GNU
0;99808094;156617336;49360897;39520106;502110409;7230511;0;sort;01;ToyBox
0;23181276;36466460;11212130;7958627;113016495;1571102;0;cp;01;BusyBox
0;63964;95154;24780;24543;341490;4089;1;false;01;GNU
0;4792651;7694438;2982353;1745170;23524903;315490;0;cksum;01;GNU
0;69506353;106535616;32595741;25542518;332708133;4713489;0;sort;02;BusyBox
0;78064;114501;27283;24468;339172;4822;0;du;01;BusyBox
0;61889;91308;24475;23503;327880;3906;0;du;01;GNU
0;66467;96741;25635;24876;325439;4211;0;date;01;GNU
0;69580;99243;25940;25653;381835;3784;0;ln;02;ToyBox
0;29010057;43295666;10454746;10481425;132068509;1944026;0;comm;01;BusyBox
0;1400387;2051386;476439;478176;6418135;91919;0;cut;01;BusyBox
0;203063;304870;76416;74198;938779;13672;0;base64;02;ToyBox
