iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities
0;2465387;3620352;675292;968886;12213836;0;0;cut;01;ToyBox
0;901731;1271176;212035;297268;3914846;0;0;cut;02;BusyBox
0;64270;88379;14892;25244;293212;0;0;wc;01;GNU
0;67444;97046;17456;25242;320495;0;0;du;01;BusyBox
0;4431202;6209274;1177548;1850643;20859565;0;0;mv;02;BusyBox
0;21986638;30955182;6968061;7780505;103525919;0;0;cp;01;BusyBox
0;63965;91065;15808;24998;277282;0;0;wc;01;ToyBox
0;62561;88135;14709;27868;334289;0;0;cat;01;GNU
0;62561;88257;14892;25068;280944;0;0;wc;01;BusyBox
0;62805;88745;14953;25132;297667;0;0;cat;01;BusyBox
0;5034106;7501018;1549618;2072502;26034663;0;0;mv;01;ToyBox
0;552000;795042;136963;188639;2506524;0;0;cut;01;GNU
0;29101488;44171273;10437168;12111171;155370635;0;0;cp;02;ToyBox
0;5348924;7255841;1421628;1999625;23305605;0;0;sort;01;BusyBox
0;2280450;3361747;625914;897723;11265413;0;0;cut;02;ToyBox
0;64880;94116;16785;25545;331237;0;0;du;02;GNU
0;4258228;5857468;1077328;1708975;19331677;0;0;mv;02;ToyBox
0;62500;88806;14831;24902;282104;0;0;touch;01;ToyBox
0;68786;98266;16541;27764;330932;0;0;cat;02;ToyBox
0;78979;113525;18921;26073;335448;0;0;du;01;GNU
0;4310353;5938889;1095456;1732667;19553051;0;0;mv;02;GNU
0;22040105;31074749;6990277;7785367;103809915;1221;0;cp;01;ToyBox
0;61646;87768;14831;24901;288268;0;0;cat;02;GNU
0;28459522;43687327;10535068;12250307;156159146;0;0;cp;02;BusyBox
0;70618;109680;20386;25424;325866;0;0;ls;02;BusyBox
0;61890;88439;14832;24620;269591;0;0;touch;02;BusyBox
0;5185046;7069257;1387631;1960049;22482547;793;0;sort;02;BusyBox
0;62683;88806;14770;24835;276245;0;0;touch;02;ToyBox
0;70129;104859;18860;24955;328978;0;0;ls;01;BusyBox
0;62622;85265;14770;25013;282104;0;0;touch;01;GNU
0;73120;108154;19654;25378;339782;0;0;du;02;ToyBox
0;23646912;33233923;7355327;8385000;111321370;0;0;cp;01;GNU
0;1486569;2061152;335937;477858;6313522;0;0;cut;01;BusyBox
0;62195;84473;14893;24742;272155;0;0;touch;02;GNU
0;7098859;9905736;2066645;2986011;33477515;0;0;sort;02;ToyBox
0;68359;98266;16479;27652;335693;0;0;cat;01;ToyBox
0;75073;104614;19287;26084;345275;0;0;ls;02;GNU
0;7122296;10003881;2155939;3032883;33911290;0;0;sort;01;ToyBox
0;71655;104675;18676;25495;345092;0;0;ls;01;GNU
0;4508045;6478865;1257687;1636532;21346136;0;0;mv;01;GNU
0;61950;89600;15869;24925;294433;0;0;cat;02;BusyBox
0;68360;100280;17883;25316;315185;0;0;ls;01;ToyBox
0;1928706;2530816;684385;471402;6854841;0;0;sort;01;GNU
0;62988;88501;14832;24986;281005;0;0;wc;02;BusyBox
0;61889;85754;14770;24745;276061;0;0;touch;01;BusyBox
0;76233;130004;20264;25712;330200;0;0;du;01;ToyBox
0;62683;88134;14710;25044;282409;0;0;wc;02;GNU
0;28011831;42977124;10353123;12005406;153744907;1465;0;cp;02;GNU
0;74707;101196;18798;26054;342467;0;0;ls;02;ToyBox
0;68604;102966;18798;25343;342346;0;0;du;02;BusyBox
0;4571399;6541670;1260678;1640331;21403448;0;0;mv;01;BusyBox
0;468931;668029;112670;152877;2023555;0;0;cut;02;GNU
0;1904353;2503595;690245;464876;6654951;0;0;sort;02;GNU
0;63171;89111;14770;25226;283569;0;0;wc;02;ToyBox
