iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities
0;7347271;10521823;1861690;2676120;34227085;0;0;cut;01;ToyBox
0;933225;1310605;218688;301883;3979360;0;0;cut;02;BusyBox
0;65125;92162;16418;24941;273986;0;0;wc;01;GNU
0;62073;88928;16907;23518;316589;0;0;du;01;BusyBox
0;4314564;5946274;1094541;1719095;20748848;0;0;mv;02;BusyBox
0;22156438;31393840;7095868;7837652;104604041;0;0;cp;01;BusyBox
0;66772;93322;16175;25079;284301;0;0;wc;01;ToyBox
0;62500;88867;15015;24692;297973;0;0;cat;01;GNU
0;63781;91797;16541;24774;309936;0;0;wc;01;BusyBox
0;61951;89416;15076;24762;301391;0;0;cat;01;BusyBox
0;6990765;11403413;2783135;4652329;51374868;0;0;mv;01;ToyBox
0;667052;965024;175903;240148;3095879;0;0;cut;01;GNU
0;28733264;44039988;10614902;12312384;156458889;0;0;cp;02;ToyBox
0;5865402;7991801;1576168;2208593;27627859;0;0;sort;01;BusyBox
0;6816816;9613134;1650203;2588440;32091043;977;0;cut;02;ToyBox
0;72753;106506;19409;25209;334288;0;0;du;02;GNU
0;4477162;6260116;1197751;1903041;22805972;0;0;mv;02;ToyBox
0;62012;84900;14283;24876;279968;0;0;touch;01;ToyBox
0;85021;119873;20630;33131;388732;0;0;cat;02;ToyBox
0;60302;100524;17944;23256;303649;0;0;du;01;GNU
0;4335987;5962204;1106198;1733687;19485118;0;0;mv;02;GNU
0;21963139;30902752;6986859;7769390;102951214;0;0;cp;01;ToyBox
0;75623;106140;18310;24885;294310;0;0;cat;02;GNU
0;28929796;44447396;10717563;12482812;158477561;0;0;cp;02;BusyBox
0;74280;108886;19958;25139;329772;0;0;ls;02;BusyBox
0;62622;84534;14404;24560;294738;0;0;touch;02;BusyBox
0;5750474;7807719;1521236;2153321;27135490;977;0;sort;02;BusyBox
0;63049;87341;15320;24684;285216;0;0;touch;02;ToyBox
0;72509;107544;19531;24844;335265;0;0;ls;01;BusyBox
0;62927;89966;14831;24962;281249;0;0;touch;01;GNU
0;64820;91186;15930;25212;308593;0;0;du;02;ToyBox
0;22007756;30962018;6991437;7780598;103132548;0;0;cp;01;GNU
0;1582333;2248590;369323;514500;6857160;0;0;cut;01;BusyBox
0;63537;86853;14709;24681;271118;0;0;touch;02;GNU
0;15486167;21211677;3906973;6162722;73677729;0;0;sort;02;ToyBox
0;86547;111084;19288;33188;400695;0;0;cat;01;ToyBox
0;75012;109436;20081;25920;344115;0;0;ls;02;GNU
0;15573935;21382209;3978567;6192761;74402581;0;0;sort;01;ToyBox
0;73791;108337;21180;25369;314086;0;0;ls;01;GNU
0;4437428;6469404;1285153;1692112;21639348;0;0;mv;01;GNU
0;63171;89294;15442;24654;295531;0;0;cat;02;BusyBox
0;64453;95642;19104;25344;310241;0;0;ls;01;ToyBox
0;2455255;3244681;852049;658685;9084144;0;0;sort;01;GNU
0;64880;91064;15503;24811;306518;0;0;wc;02;BusyBox
0;73547;105530;16906;24654;287841;0;0;touch;01;BusyBox
0;59570;88195;15503;23426;282226;0;0;du;01;ToyBox
0;64087;91736;16418;24855;283080;0;0;wc;02;GNU
0;29009569;44316049;10658420;12330344;157267542;0;0;cp;02;GNU
0;68238;100708;17151;26703;330565;0;0;ls;02;ToyBox
0;73242;110657;19897;25028;326049;0;0;du;02;BusyBox
0;4820117;7082502;1441219;1906221;24084350;0;0;mv;01;BusyBox
0;474486;666197;112854;153845;2045710;0;0;cut;02;GNU
0;2444879;3223319;826291;672764;9007057;0;0;sort;02;GNU
0;64453;90637;15442;24991;282592;0;0;wc;02;ToyBox
