iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities
0;2506403;3674735;683531;982561;12447905;0;0;cut;01;ToyBox
0;916684;1280575;211913;297900;3945669;0;0;cut;02;BusyBox
0;63537;89111;14831;24996;278747;0;0;wc;01;GNU
0;76110;110290;19775;25455;325621;0;0;du;01;BusyBox
0;4364613;6034226;1090329;1713048;19432934;4029;0;mv;02;BusyBox
0;22136113;31216717;7016034;7831176;104626441;0;0;cp;01;BusyBox
0;63842;89111;14831;25152;278076;0;0;wc;01;ToyBox
0;63537;88928;14710;25260;309997;0;0;cat;01;GNU
0;63293;90881;15869;25017;282958;0;0;wc;01;BusyBox
0;62927;91491;15381;25021;303710;0;0;cat;01;BusyBox
0;4569630;6527876;1251340;1626103;21265815;0;0;mv;01;ToyBox
0;552489;790098;136047;187623;2460382;0;0;cut;01;GNU
0;28500171;43739879;10527317;12253809;156883449;0;0;cp;02;ToyBox
0;5367662;7269573;1418087;2000109;23375612;0;0;sort;01;BusyBox
0;2290888;3374076;629576;900723;11335481;0;0;cut;02;ToyBox
0;68115;99426;18311;25427;318053;0;0;du;02;GNU
0;4299305;5887985;1069700;1698312;19194164;0;0;mv;02;ToyBox
0;63293;88684;14770;24977;282775;0;0;touch;01;ToyBox
0;68298;94483;16480;27808;330444;0;0;cat;02;ToyBox
0;71838;104919;18982;25612;344176;0;0;du;01;GNU
0;4334217;5976791;1094663;1727610;19569225;0;0;mv;02;GNU
0;22761599;32537453;7550152;7792467;106238376;32043;0;cp;01;ToyBox
0;62805;88379;14832;25185;298156;0;0;cat;02;GNU
0;28803943;44579720;10682224;12369365;158686545;7324;0;cp;02;BusyBox
0;71533;102661;18310;25310;333312;0;0;ls;02;BusyBox
0;62561;89111;14953;24816;283812;0;0;touch;02;BusyBox
0;5219530;7068891;1371395;1958031;22525638;0;0;sort;02;BusyBox
0;62744;89783;14832;24948;279418;0;0;touch;02;ToyBox
0;67017;92407;16602;24878;321533;0;0;ls;01;BusyBox
0;64209;91491;15869;24889;282409;0;0;touch;01;GNU
0;73242;105469;19226;25578;328979;0;0;du;02;ToyBox
0;22006962;31055524;6970747;7787172;103835244;0;0;cp;01;GNU
0;1489986;2064448;335266;476863;6312667;0;0;cut;01;BusyBox
0;63232;86669;14771;24968;279602;0;0;touch;02;GNU
0;7180828;9995580;2085077;2979773;33397986;0;0;sort;02;ToyBox
0;69457;98389;16419;27771;330687;0;0;cat;01;ToyBox
0;70739;106078;19409;26095;338134;0;0;ls;02;GNU
0;7331646;10207676;2147883;3026765;34268650;0;0;sort;01;ToyBox
0;67321;102417;19165;25513;333007;0;0;ls;01;GNU
0;4579395;6553389;1262326;1642289;21455755;0;0;mv;01;GNU
0;62012;85998;14770;24890;285583;0;0;cat;02;BusyBox
0;73426;104309;18676;25225;330078;0;0;ls;01;ToyBox
0;1960627;2564324;686339;474098;6898115;0;0;sort;01;GNU
0;63232;89294;14343;24818;281432;0;0;wc;02;BusyBox
0;63110;86975;14771;24811;282653;0;0;touch;01;BusyBox
0;71838;100342;18310;25509;343627;0;0;du;01;ToyBox
0;62255;88501;14710;25037;280517;0;0;wc;02;GNU
0;28986376;44779365;10887424;12332871;158527182;42114;0;cp;02;GNU
0;73547;107361;19165;26214;333190;0;0;ls;02;ToyBox
0;71167;105834;19532;25070;329894;0;0;du;02;BusyBox
0;4650440;6700483;1269406;1639161;21610967;3235;0;mv;01;BusyBox
0;462340;655150;110168;151203;2011225;0;0;cut;02;GNU
0;1903071;2505365;691039;463947;6713362;0;0;sort;02;GNU
0;64026;90881;15747;25118;287902;0;0;wc;02;ToyBox
