PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
127311442,10430021,BusyBox,comm,01,117379216,10403142,116601996,10403825
55254436,4910525,GNU,comm,01,59361054,4911828,55211894,4911968
573406369,53614709,ToyBox,comm,01,573004942,53542499,572500915,53350997
