PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
294677,24250,BusyBox,false,01,296081,24484,305297,24554
298095,24299,GNU,false,01,300232,24281,302367,24501
320800,27563,ToyBox,false,01,292418,24614,307128,24671
