PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
300780,24890,BusyBox,df,01,301818,24816,309082,24737
287108,25369,GNU,df,01,326354,25330,321471,25330
342345,29348,ToyBox,df,01,324462,26096,322204,26075
