PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
81297522,7228935,BusyBox,wc,01,81421667,7230898,81313329,7231052
426204170,37680193,GNU,wc,01,430380795,38040721,429680846,37719456
111239705,9923319,ToyBox,wc,01,111174459,9932667,111274068,9937899
