PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
292663,24487,BusyBox,factor,01,308715,24594,292358,24438
307983,24668,GNU,factor,01,309325,24672,309142,24815
320922,28550,ToyBox,factor,01,304503,24567,307677,24836
