PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
279784,24390,BusyBox,touch,01,281066,24612,269104,24525
280639,24605,GNU,touch,01,282836,24649,281981,24783
294616,25450,ToyBox,touch,01,270385,24714,280761,24757
