Nr;Program;GNU;ToyBox;BusyBox
1;base64;5;3;2
2;basename;5;2;2
3;cat;12;4;6
4;chmod;9;0;4
5;cksum;16;5;0
6;comm;10;3;3
7;cp;36;19;13
8;cut;12;9;9
9;date;12;6;6
10;df;18;7;9
11;dirname;3;0;0
12;du;30;13;12
13;echo;5;3;1
14;expand;5;1;2
15;factor;3;2;0
16;false;2;0;0
17;head;7;4;5
18;id;10;5;5
19;link;2;0;0
20;ln;16;7;7
21;logname;2;0;0
22;ls;60;16;28
23;md5sum;12;3;3
24;mkdir;7;3;2
25;mv;17;6;5
26;sort;31;19;17
27;touch;11;7;7
28;true;2;0;0
29;wc;9;4;5
