PSYS_repeat21,DURATION_repeat21,Utilities,Command,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
6829817,547978,GNU,expand,6919233,548070,6861005,548472
13998438,1152215,BusyBox,expand,14214807,1153359,14102747,1152216
504027,38223,ToyBox,expand,502868,38242,489806,38047
