PSYS_repeat21,DURATION_repeat21,Utilities,Command,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
2738396,233312,GNU,chmod,2737359,233405,2793938,237800
3428763,305487,BusyBox,chmod,3488333,308741,3452994,306524
2628472,234497,ToyBox,chmod,2612481,233839,2641778,234109
