PSYS_repeat21,DURATION_repeat21,Utilities,Command,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
286559,24652,GNU,dirname,307861,24762,293701,24594
299987,24541,BusyBox,dirname,317015,24624,305480,24336
330261,28670,ToyBox,dirname,299315,24459,312743,24494
