PSYS_repeat21,DURATION_repeat21,Utilities,Command,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
2047358,174542,GNU,cat,2053340,174399,2073969,174731
35590668,3180358,BusyBox,cat,35788421,3180772,35598176,3180701
1418643646,133395325,ToyBox,cat,1421365990,133411263,1423375934,133379673
