PSYS_repeat21,DURATION_repeat21,Utilities,Command,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
545042,45319,GNU,ls,550719,45428,542663,45145
684569,57690,BusyBox,ls,651488,55231,666319,54627
2446283,214480,ToyBox,ls,2420160,204857,2430841,205255
