PSYS_repeat21,DURATION_repeat21,Utilities,Command,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
1428219,118013,GNU,ls,1436214,117724,1424801,117897
1043577,88999,BusyBox,ls,1033567,88565,1093747,93251
4350453,367010,ToyBox,ls,4332936,365546,4354115,367941
