PSYS_repeat21,DURATION_repeat21,Utilities,Command,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
296019,24563,GNU,factor,299865,24755,319335,25115
306578,24620,BusyBox,factor,308227,24687,306395,24822
308044,25140,ToyBox,factor,303955,25158,305603,25145
