PSYS_repeat21,DURATION_repeat21,Utilities,Command,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
304443,24693,GNU,link,311706,24626,301818,24593
293335,24573,BusyBox,link,306335,24636,290954,24565
321593,28494,ToyBox,link,303588,24663,289428,24592
