PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
35662751,3182860,BusyBox,cat,2,35373506,3145403,35066561,3130688
2167903,183126,GNU,cat,2,2123590,178250,2063960,174638
1443523527,134916447,ToyBox,cat,2,1435039418,134851408,1448205399,135201408
294250,24593,BusyBox,head,2,338927,27524,294067,24442
310730,24758,GNU,head,2,309203,24826,305969,24748
304809,24942,ToyBox,head,2,302917,24769,291137,24666
300353,24658,BusyBox,date,2,276000,24456,311218,24334
294982,24643,GNU,date,2,312072,24508,308471,24711
300231,24688,ToyBox,date,2,309630,24551,294433,24450
81388403,7232134,BusyBox,wc,2,81523595,7236974,81389989,7233234
428017093,37853445,GNU,wc,2,430612301,37944042,423970534,37529119
169723016,15227857,ToyBox,wc,2,170411246,15218819,169218744,15158045
301085,24545,BusyBox,link,2,293395,24559,291504,24419
302795,24520,GNU,link,2,304748,24745,289061,24454
304748,24506,ToyBox,link,2,302489,24557,302856,24622
306578,24620,BusyBox,factor,2,308227,24687,306395,24822
296019,24563,GNU,factor,2,299865,24755,319335,25115
308044,25140,ToyBox,factor,2,303955,25158,305603,25145
305175,24486,BusyBox,False,2,298217,24298,276244,24237
297668,24593,GNU,False,2,288207,24594,308410,24602
302795,24606,ToyBox,False,2,291137,24560,295043,24575
1043577,88999,BusyBox,ls,2,1033567,88565,1093747,93251
1428219,118013,GNU,ls,2,1436214,117724,1424801,117897
4350453,367010,ToyBox,ls,2,4332936,365546,4354115,367941
271606,24484,BusyBox,mkdir,2,288085,24579,279662,24810
280151,25234,GNU,mkdir,2,284484,25232,277526,25044
280639,24841,ToyBox,mkdir,2,271361,24920,331603,28114
269506451,24183017,BusyBox,md5sum,2,270443156,24196420,261289553,24272928
212142523,20298247,GNU,md5sum,2,230137106,20214822,220581344,20213860
489048309,44248614,ToyBox,md5sum,2,497084604,44236349,497389291,44238454
107123017,9562015,BusyBox,comm,2,107412995,9523493,106928009,9552211
45687688,4048081,GNU,comm,2,46665164,4048956,49747737,4043004
53450303,4873844,ToyBox,comm,2,53391465,4878204,53766769,4886919
3428763,305487,BusyBox,chmod,2,3488333,308741,3452994,306524
2738396,233312,GNU,chmod,2,2737359,233405,2793938,237800
2628472,234497,ToyBox,chmod,2,2612481,233839,2641778,234109
307189,24495,BusyBox,echo,2,308960,24478,293151,24249
296203,24661,GNU,echo,2,308044,24720,307128,24688
308654,24473,ToyBox,echo,2,294738,24562,294067,24506
13998438,1152215,BusyBox,expand,2,14214807,1153359,14102747,1152216
6829817,547978,GNU,expand,2,6919233,548070,6861005,548472
504027,38223,ToyBox,expand,2,502868,38242,489806,38047
281127,24431,BusyBox,True,2,277465,24392,280028,24266
269592,24396,GNU,True,2,284057,24421,269348,24377
268066,24277,ToyBox,True,2,269591,24363,281127,24400
301879,24593,BusyBox,ln,2,307312,24298,303771,24301
301635,24496,GNU,ln,2,292602,24758,301696,24550
339415,25678,ToyBox,ln,2,334289,25517,327880,25411
292829023,25318652,BusyBox,sort,2,298355987,25423277,292731429,25310376
89297562,6016584,GNU,sort,2,89713454,6026356,88909807,5993051
434287462,38654606,ToyBox,sort,2,434066637,38553318,435349594,38730077
663145,53886,BusyBox,du,2,667601,53595,664794,53679
697630,57077,GNU,du,2,700438,57604,700133,57062
667540,58918,ToyBox,du,2,720335,58225,711119,58208
3728628,296460,BusyBox,cut,2,3791617,297193,3730704,296684
1898127,150244,GNU,cut,2,1977290,154594,1901118,150257
10774447,904848,ToyBox,cut,2,10731479,900203,10706028,900687
312194,24840,BusyBox,df,2,308715,24920,306884,24827
298888,25345,GNU,df,2,307311,25385,321837,25213
316161,25991,ToyBox,df,2,323303,26017,321227,25997
294433,24560,BusyBox,id,2,307128,24636,289306,24309
309997,24900,GNU,id,2,306335,25093,305541,25100
308227,24917,ToyBox,id,2,291381,24718,302368,24781
296874,24303,BusyBox,dirname,2,300597,24364,308654,24333
296142,24592,GNU,dirname,2,309021,24753,302855,24748
292479,24506,ToyBox,dirname,2,309204,24581,308837,24661
269714,24294,BusyBox,touch,2,270324,24419,281615,24485
271301,24462,GNU,touch,2,283569,24773,281433,24695
281677,24630,ToyBox,touch,2,281066,24526,280822,24485
330626,29075,BusyBox,cksum,2,328002,28987,325194,29083
297606,24862,GNU,cksum,2,355895,27269,291808,24960
325439,28508,ToyBox,cksum,2,325194,28432,328856,28434
303527,24798,BusyBox,logname,2,296508,24748,303283,24751
302246,24913,GNU,logname,2,294006,24727,301635,24684
294311,24839,ToyBox,logname,2,291991,24836,303466,24896
267639,24482,BusyBox,mv,2,281433,24489,268860,24377
281310,24970,GNU,mv,2,343261,26402,275634,25004
271057,24621,ToyBox,mv,2,270446,24691,281066,24786
