PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
300353,24658,BusyBox,date,02,276000,24456,311218,24334
294982,24643,GNU,date,02,312072,24508,308471,24711
300231,24688,ToyBox,date,02,309630,24551,294433,24450
